@RELATION RealFinal

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE class {B,W}

@DATA
10,0,1,0,0,0.0,0,0,6,0,6,320.0,2,2,1,2,1,6503.5,20091021,2,W
13,0,1,1,0,0.0,0,0,9,0,5,86420.0,2,1,1,3,3,4817.666666666667,20140911,19,W
15,0,1,0,0,0.0,0,0,11,0,11,14415.0,1,1,1,4,1,37940.25,20020412,2,W
18,0,2,0,0,0.0,0,0,11,0,11,310.0,1,1,1,6,11,2133.6666666666665,-1,2,W
13,0,1,0,0,0.0,0,0,9,0,9,620.0,1,1,1,3,2,1691.3333333333333,20010113,2,W
11,0,1,0,0,0.0,0,0,7,0,7,80.0,1,1,1,8,2,42011.5,20000623,2,W
9,0,1,0,0,0.0,0,0,5,0,5,620.0,1,1,1,2,9,23364.5,20071226,8,W
8,0,1,0,0,0.0,0,0,5,0,5,3620.0,1,1,1,3,1,3610.6666666666665,-1,2,W
10,0,1,0,0,0.0,0,0,6,0,6,310.0,2,1,1,3,1,5352.333333333333,20061101,2,W
14,0,2,0,5,0.0,1,0,5,5,5,-1,0,0,0,0,0,-1,-1,0,B
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
18,1,3,1,14,0.0,0,0,7,4,0,-1,0,0,0,0,0,-1,-1,0,B
13,0,1,0,0,0.0,0,0,9,0,9,320.0,2,1,1,2,1,46764.5,20131101,2,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
8,0,1,0,0,0.0,0,0,5,0,5,3620.0,1,1,1,2,2,3609.0,-1,6,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
11,0,1,0,0,0.0,0,0,7,0,7,320.0,1,1,1,2,1,57007.0,20070511,2,W
14,0,2,1,4,0.0,5,0,5,2,2,-1,0,0,0,0,0,-1,-1,0,B
22,0,2,0,10,0.0,1,0,10,10,7,-1,0,0,0,0,0,-1,-1,0,B
20,0,2,0,2,0.0,1,0,11,2,11,-1,0,0,0,0,0,-1,-1,0,B
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
17,0,1,0,0,0.0,0,0,13,0,13,10820.0,1,1,1,3,1,51456.0,20041214,20,W
13,0,2,0,0,0.0,0,0,6,0,6,84.0,1,1,1,3,2,56.666666666666664,-1,2,W
14,0,1,0,0,0.0,0,0,10,0,10,320.0,3,3,1,4,1,63249.75,20110214,2,W
8,0,1,0,2,0.0,1,0,4,2,3,1613.0,1,1,1,5,2,243.6,-1,21,B
10,0,1,0,0,0.0,0,0,6,0,6,920.0,6,1,1,5,1,59590.0,20080624,2,W
14,0,1,0,0,0.0,0,0,10,0,10,86420.0,1,1,1,6,1,41159.333333333336,-1,2,W
16,0,1,0,0,0.0,0,0,12,0,12,3620.0,1,1,1,4,1,120606.0,19970818,21,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
20,0,3,0,7,0.0,1,0,8,5,8,-1,0,0,0,0,0,-1,-1,0,B
15,1,3,1,11,0.0,0,0,6,3,0,-1,0,0,0,0,0,-1,-1,0,B
10,0,1,0,0,0.0,0,0,6,0,6,80.0,1,1,1,4,1,85496.5,20020330,2,W
10,0,1,0,0,0.0,0,0,7,0,7,8660.0,2,1,1,6,3,57339.833333333336,-1,17,W
18,0,2,0,0,0.0,0,0,11,0,11,86420.0,1,1,2,2,1,44378.0,-1,8,W
11,0,1,0,0,0.0,0,0,8,0,8,920.0,1,1,1,4,2,32426.25,-1,7,W
7,0,1,0,1,0.0,2,0,3,1,3,620.0,1,1,1,5,1,66141.6,20040308,2,W
13,0,1,0,0,0.0,0,0,9,0,9,320.0,2,2,1,2,1,30100.0,20100121,2,W
23,0,3,0,13,0.0,5,0,9,9,3,-1,0,0,0,0,0,-1,-1,0,B
8,0,1,0,0,0.0,0,0,5,0,5,3620.0,2,2,1,6,2,3603.1666666666665,-1,20,W
18,0,3,0,7,0.0,1,0,5,5,5,-1,0,0,0,0,0,-1,-1,0,B
7,0,1,0,0,0.0,0,0,4,0,4,464.0,1,1,1,3,2,1816.0,-1,4,W
13,0,1,1,0,0.0,0,0,9,0,5,7220.0,1,1,1,2,1,1556.0,19960412,9,W
12,0,2,0,0,0.0,0,0,6,0,6,84.0,1,1,1,3,2,101.0,-1,2,W
12,0,1,0,0,0.0,0,0,8,0,8,920.0,1,1,1,5,2,1128.4,20041012,2,W
18,0,1,0,0,0.0,0,0,14,0,14,80.0,2,2,1,4,1,112443.5,20120828,2,W
16,0,1,0,0,0.0,0,0,12,0,12,3610.0,1,1,1,3,2,58801.666666666664,20030812,3,W
6,0,1,0,0,0.0,0,0,3,0,3,70.0,1,1,1,4,1,316.75,-1,2,W
14,0,1,0,0,0.0,0,0,10,0,10,920.0,3,3,2,5,13,2679.8,19930428,2,W
6,0,1,0,0,0.0,0,0,3,0,3,50.0,4,1,1,3,2,28365.666666666668,-1,2,W
12,1,3,0,9,1.0,0,0,3,3,0,0.0,0,0,0,1,0,-1,-1,0,B
7,0,1,0,0,0.0,0,0,4,0,4,320.0,2,2,1,2,1,45312.5,20121211,2,W
10,0,2,0,0,0.0,0,0,4,0,4,40.0,1,1,1,8,2,59081.125,-1,2,W
15,0,1,0,0,0.0,0,0,11,0,11,3620.0,1,1,1,2,1,128859.0,20111227,11,W
19,0,3,0,4,0.0,3,0,6,2,6,-1,0,0,0,0,0,-1,-1,0,B
9,0,1,0,3,0.0,1,0,5,3,3,-1,0,0,0,0,0,-1,-1,0,B
10,0,1,0,4,0.0,1,0,6,4,3,-1,0,0,0,0,0,-1,-1,0,B
9,0,1,0,0,0.0,0,0,5,0,5,6207.0,1,1,1,4,2,262.75,-1,2,W
17,0,2,0,8,0.0,3,0,7,4,4,-1,0,0,0,0,0,-1,-1,0,B
11,0,1,0,2,0.0,1,0,7,2,5,-1,0,0,0,2,7,103141.5,20140908,0,B
18,0,1,0,0,0.0,0,0,15,0,15,7220.0,1,1,1,4,4,2060.25,-1,20,W
15,0,1,0,0,0.0,0,0,11,0,11,320.0,1,1,1,4,1,57382.5,20070212,2,W
11,0,1,0,0,0.0,0,0,7,0,7,3620.0,1,1,1,6,4,268.5,20070208,8,W
10,0,1,0,0,0.0,0,0,6,0,6,620.0,1,1,1,3,3,1452.6666666666667,20010701,2,W
8,0,1,0,1,0.0,2,0,4,1,3,620.0,1,1,1,2,9,29253.5,20050309,8,W
14,0,2,0,5,0.0,3,0,6,3,3,-1,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,10,0,10,28820.0,1,1,1,3,1,28819.0,19960131,2,W
14,0,1,0,0,0.0,0,0,10,0,10,3620.0,1,1,1,2,1,86407.0,19990216,20,W
19,0,2,0,8,0.0,3,0,9,5,6,-1,0,0,0,0,0,-1,-1,0,B
24,0,2,0,10,0.0,1,0,10,10,9,-1,0,0,0,0,0,-1,-1,0,B
9,0,1,0,4,0.0,1,0,6,4,2,-1,0,0,0,0,0,-1,-1,0,B
16,0,1,0,0,0.0,0,0,12,0,12,615.0,1,1,1,3,1,80242.33333333333,20070612,15,W
10,0,1,0,0,0.0,0,0,6,0,6,3341.0,2,2,2,4,1,17899.5,19981217,2,W
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
19,1,3,1,15,0.0,0,0,8,4,0,-1,0,0,0,0,0,-1,-1,0,B
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
15,0,2,0,4,0.0,3,0,6,3,6,-1,0,0,0,0,0,-1,-1,0,B
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
25,0,1,0,0,0.0,0,0,21,0,21,616.0,1,1,1,4,1,74676.25,20080118,2,W
10,0,1,0,0,0.0,0,0,6,0,6,7220.0,1,1,1,4,2,4582.75,20090424,11,W
10,0,1,0,3,0.0,1,0,6,3,3,320.0,1,1,1,5,1,47682.2,20120927,22,B
10,0,1,0,6,0.0,1,0,6,6,3,1601.0,1,1,1,5,2,93.4,20121114,2,B
15,0,2,0,4,0.0,1,0,6,4,6,3620.0,1,1,1,0,0,-1,-1,2,B
19,0,3,0,5,0.0,3,0,5,3,5,-1,0,0,0,0,0,-1,-1,0,B
11,0,1,0,0,0.0,0,0,7,0,7,50.0,2,1,1,4,1,48455.5,20041115,2,W
13,0,1,0,0,0.0,0,0,9,0,9,14420.0,1,1,1,2,1,43218.0,20080707,2,W
13,0,1,0,0,0.0,0,0,9,0,9,14420.0,1,1,1,4,1,8779.75,19910814,2,W
14,1,3,0,11,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,11,0,11,1820.0,1,1,1,5,4,427.0,-1,18,W
13,0,1,0,0,0.0,0,0,10,0,10,80.0,10,1,1,2,1,1816.5,-1,9,W
10,0,1,0,0,0.0,0,0,5,0,5,-1,0,0,0,2,1,1765.0,20040209,0,W
14,0,2,0,4,0.0,3,0,5,2,5,-1,0,0,0,0,0,-1,-1,0,B
14,0,1,0,0,0.0,0,0,11,0,11,3610.0,1,1,1,4,4,6464.0,-1,5,W
15,1,3,0,12,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
9,0,1,0,0,0.0,0,0,5,0,5,320.0,2,1,1,2,1,49791.5,20140307,2,W
22,0,3,0,2,0.0,3,0,8,1,8,-1,0,0,0,0,0,-1,-1,0,B
10,0,1,0,0,0.0,0,0,6,0,6,7900.0,1,1,1,6,2,42468.666666666664,20150625,2,W
12,0,1,0,0,0.0,0,0,8,0,8,14420.0,1,1,1,4,1,29362.5,20031013,2,W
11,0,1,0,0,0.0,0,0,8,0,8,1820.0,1,1,1,3,1,5802.333333333333,-1,23,W
17,0,1,1,0,0.0,0,0,13,0,9,920.0,1,1,1,5,1,64687.4,20130930,24,W
9,0,1,0,3,0.0,1,0,5,3,3,7010.0,1,1,1,2,1,2059.0,20150419,2,B
18,0,2,0,2,0.0,3,0,8,1,8,-1,0,0,0,0,0,-1,-1,0,B
13,0,1,0,0,0.0,0,0,9,0,9,86420.0,1,1,1,5,1,27142.0,20080417,2,W
12,0,2,0,6,0.0,3,0,5,5,2,-1,0,0,0,0,0,-1,-1,0,B
10,0,1,0,0,0.0,0,0,7,0,7,620.0,1,1,1,2,1,3879.0,-1,20,W
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
8,0,1,0,1,0.0,1,0,4,1,3,7220.0,1,1,1,2,1,618.5,-1,20,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
13,1,3,0,10,1.0,0,0,3,3,0,0.0,0,0,0,0,0,-1,-1,0,B
11,0,1,0,0,0.0,0,0,8,0,8,86420.0,1,1,1,3,1,5942.0,-1,4,W
11,0,1,0,0,0.0,0,0,8,0,8,86420.0,1,1,1,3,1,42770.666666666664,-1,3,W
12,0,1,0,0,0.0,0,0,9,0,9,140.0,2,2,1,4,4,11048.5,-1,20,W
10,0,1,0,2,0.0,2,0,7,2,5,3620.0,1,1,1,3,3,308.0,-1,25,W
11,0,1,0,0,0.0,0,0,7,0,7,40.0,1,1,1,6,2,64080.833333333336,20051215,2,W
15,0,1,0,0,0.0,0,0,11,0,11,915.0,1,1,1,6,1,1499.6666666666667,-1,5,W
26,0,1,1,0,0.0,0,0,16,0,9,-1,0,0,0,0,0,-1,-1,0,W
9,0,1,1,4,0.0,1,0,5,3,3,-1,0,0,0,0,0,-1,-1,0,B
11,0,2,0,0,0.0,0,0,5,0,5,-1,0,0,0,0,0,-1,-1,0,W
9,0,1,0,0,0.0,0,0,6,0,6,80.0,1,1,1,4,1,89874.0,20120214,2,W
9,0,1,0,0,0.0,0,0,6,0,6,84.0,1,1,1,3,2,225.0,-1,2,W
13,0,1,0,0,0.0,0,0,9,0,9,310.0,2,2,1,2,1,40502.0,20121019,2,W
12,0,2,0,0,0.0,0,0,6,0,6,620.0,1,1,1,2,1,1696.0,-1,1,W
18,0,2,0,0,0.0,0,0,12,0,12,620.0,1,1,1,2,1,22404.5,-1,26,W
10,0,1,0,0,0.0,0,0,7,0,7,28815.0,1,1,1,3,1,10213.666666666666,-1,4,W
11,0,1,0,0,0.0,0,0,7,0,7,320.0,3,1,1,4,1,310.25,20060423,27,W
14,0,1,1,0,0.0,0,0,11,0,7,920.0,1,1,1,3,1,583.0,-1,4,W
